budget_tag,policy,acc,tokens
B1,conf,0.6463878326996197,96.0
B1,fixed,0.6463878326996197,96.0
B1,oracle,0.8010139416983524,272.871989860583
B1,random,0.6463878326996197,96.0
B1,stability,0.6463878326996197,96.0
B2,conf,0.6936679599364458,260.4161138425966
B2,fixed,0.6603295310519646,256.0
B2,oracle,0.8010139416983524,272.871989860583
B2,random,0.6493916782760386,256.0000000000016
B2,stability,0.6710314847375406,258.01267417824283
B3,conf,0.6654324654291836,483.3966201883463
B3,fixed,0.6539923954372624,480.0
B3,oracle,0.8010139416983524,272.871989860583
B3,random,0.6560585925854931,479.99999999999864
B3,stability,0.6843977520812935,484.42969032499616
B4,conf,0.6527249683143219,800.0
B4,fixed,0.6527249683143219,800.0
B4,oracle,0.8010139416983524,272.871989860583
B4,random,0.6527249683143219,800.0
B4,stability,0.6527249683143219,800.0
